row_id,energy
94993,2168.121739244163
94994,2155.3360015391727
94995,2145.327077964325
94996,2140.6401901908534
94997,2142.2978330635333
94998,2149.614967850941
94999,2160.435115262032
95000,2171.7262847421543
95001,2180.4070886323234
95002,2184.1965744106365
95003,2182.238929619058
95004,2175.30147502611
95005,2165.4876570371057
95006,2155.580567757011
95007,2148.2460089474766
95008,2145.3326389493222
95009,2147.4362507012847
95010,2153.8034588852206
95011,2162.57379817604
95012,2171.2978775557885
95013,2177.6090941262846
95014,2179.873241626671
95015,2177.6260140869854
95016,2171.662960894092
95017,2163.761826270032
95018,2156.141777680879
95019,2150.8384316692627
95020,2149.1737585459687
95021,2151.4463370002986
95022,2156.897594289831
95023,2163.946800456912
95024,2170.633352218533
95025,2175.1558226485595
95026,2176.362906553006
95027,2174.0538299082655
95028,2168.9993264146397
95029,2162.6852282631903
95030,2156.8699185948158
95031,2153.095726154167
95032,2152.2901371209446
95033,2154.5508978391404
95034,2159.1544615113526
95035,2164.775258764344
95036,2169.857359476656
95037,2173.042128776907
95038,2173.5351719099017
95039,2171.3074739038457
95040,2167.074142960732
95041,2162.0648438208527
95042,2157.6638631777128
95043,2155.029682484121
95044,2154.797506958433
95045,2156.934852414586
95046,2160.776735244057
95047,2165.224235131582
95048,2169.0526348818244
95049,2171.247220869133
95050,2171.2744513757575
95051,2169.2120833277054
95052,2165.703783745271
95053,2161.7581421886157
95054,2158.4576877635627
95055,2156.6641690163915
95056,2156.798913712292
95057,2158.7499903486146
95058,2161.9227541643604
95059,2165.415458667106
95060,2168.2717376180585
95061,2169.7417690145153
95062,2169.4802407648313
95063,2167.6263814014465
95064,2164.746496429506
95065,2161.6610063710186
95066,2159.2106184134727
95067,2158.0293323719943
95068,2158.384226982236
95069,2160.119674566705
95070,2162.7151357633115
95071,2165.437515093503
95072,2167.545877227416
95073,2168.4927125825748
95074,2168.0665043454424
95075,2166.4370113672794
95076,2164.0935785844495
95077,2161.6983546925007
95078,2159.8995322085902
95079,2159.1576701177382
95080,2159.6305153826497
95081,2161.143254346661
95082,2163.2480060810367
95083,2165.353897161829
95084,2166.8914729173594
95085,2167.4664072167716
95086,2166.9605525281386
95087,2165.5536345666364
95088,2163.6622747036135
95089,2161.816883245288
95090,2160.5134154526672
95091,2160.08147034028
95092,2160.602941197622
95093,2161.9000600351674
95094,2163.592976137895
95095,2165.2092970818208
95096,2166.314968375311
95097,2166.630589874894
95098,2166.1016655384287
95099,2164.904741591808
95100,2163.3900822930987
95101,2161.979476811634
95102,2161.049313530023
95103,2160.831232958994
95104,2161.3559315764787
95105,2162.4529241824644
95106,2163.8040199911784
95107,2165.0344764293527
95108,2165.8163187875316
95109,2165.9555164808103
95110,2165.439631402631
95111,2164.434111395954
95112,2163.2302091058964
95113,2162.160929952425
95114,2161.5094104798977
95115,2161.4347823995467
95116,2161.934460257158
95117,2162.8512217673365
95118,2163.921412689057
95119,2164.849999571599
95120,2165.3914775578232
95121,2165.414532336935
95122,2164.9333057343847
95123,2164.097847230213
95124,2163.1479678128085
95125,2162.344693464712
95126,2161.898957389745
95127,2161.916855259012
95128,2162.3753308636133
95129,2163.1334517443506
95130,2163.974878223448
95131,2164.6690690166993
95132,2165.0341372059597
95133,2164.9842641859977
95134,2164.549258301228
95135,2163.8619176139478
95136,2163.1179309063036
95137,2162.5204196838436
95138,2162.2248325775317
95139,2162.299003901818
95140,2162.708394179889
95141,2163.329398799624
95142,2163.9860833916428
95143,2164.4996579897365
95144,2164.7369202355508
95145,2164.644569430442
95146,2164.260542046561
95147,2163.700133314481
95148,2163.121699125879
95149,2162.682126733151
95150,2162.4945668914197
95151,2162.599700860134
95152,2162.9576610751833
95153,2163.4619220767445
95154,2163.9705967761706
95155,2164.346098041503
95156,2164.492169227279
95157,2164.378338326905
95158,2164.045600428232
95159,2163.5924961725577
95160,2163.1461623303394
95161,2162.8268393116996
95162,2162.715707062046
95163,2162.834562219626
95164,2163.14229290935
95165,2163.548419762207
95166,2163.9394149944033
95167,2164.210247751369
95168,2164.2924489205498
